"danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "track_uri" "duration_ms" "time_signature" "key_mode"
0.383 0.876 "C" -5.511 "major" 0.0719 0.0154 1.16e-05 0.11 0.15 161.975 "41FnjoHfiCMirKDdcMXUFZ" 640587 4 "C major"
0.543 0.983 "D" -4.27 "minor" 0.066 0.00124 0.00149 0.332 0.27 109.992 "1UHYGJZXuWQDab7cwbhRY7" 332893 4 "D minor"
0.276 0.602 "D#" -5.401 "major" 0.0394 0.158 4.16e-06 0.258 0.142 136.529 "5UjDPweF3LsSz6Hi0CKfaW" 602827 4 "D# major"
0.476 0.917 "F" -5.118 "minor" 0.0652 0.00127 0.000192 0.129 0.243 139.972 "6z5FFNy2EfQQ4xIgBJa3SL" 572733 4 "F minor"
0.509 0.989 "G#" -5.136 "major" 0.0636 0.000744 5.85e-06 0.0533 0.182 103.471 "1idA2g0PwnN1qXhv3VnuB1" 328693 4 "G# major"
0.488 0.733 "G" -4.442 "major" 0.0392 0.000353 0.000347 0.0537 0.228 119.995 "2GcufX1ppA9lZT3aCJZITb" 321147 4 "G major"
0.522 0.95 "D#" -4.296 "minor" 0.0463 0.000229 5.03e-05 0.124 0.515 101.012 "2hZwsC2FS9C4T8jQZpxSKm" 247320 4 "D# minor"
0.534 0.658 "E" -4.904 "minor" 0.0275 0.0426 0.00313 0.118 0.176 91.999 "2RtVAlbYYVnpjgPn7Qftk6" 270387 4 "E minor"
0.399 0.809 "C" -5.637 "major" 0.0462 0.0104 2.81e-06 0.139 0.527 199.761 "5LColPeNdPKDhR2PfMCyu6" 288427 4 "C major"
0.447 0.961 "E" -4.413 "minor" 0.0831 0.000191 0.00117 0.308 0.303 100.51 "2dmjKnSHZDW1jC2TaMyYFH" 286560 4 "E minor"
0.3 0.751 "A#" -4.823 "major" 0.0351 0.0669 0.000486 0.114 0.168 98.795 "16Dc9BKKEpe6i0fVzBvE0E" 432480 4 "A# major"
0.522 0.82 "G#" -4.891 "major" 0.0521 0.00993 0.0736 0.18 0.324 124.011 "6MRdJemBjlu6vXSZvgLyuA" 568413 4 "G# major"
0.383 0.97 "E" -3.584 "major" 0.0661 2.69e-05 0.00295 0.147 0.228 145.962 "7itdsZezDnfc8QtZRkxuCZ" 283507 4 "E major"
0.274 0.933 "D#" -3.955 "major" 0.0795 0.000298 0.158 0.242 0.391 154.943 "6Zwn1yawMFEkihDYJbzge6" 303650 4 "D# major"
0.601 0.933 "F" -3.575 "minor" 0.0595 0.00636 0.00198 0.253 0.389 118.005 "16mkFfAvkSrdKG6wxhYT1i" 271827 4 "F minor"
0.424 0.834 "C#" -6.066 "major" 0.044 0.00732 5.11e-05 0.127 0.152 150.451 "7mijP1SRLhzkWVUSSkB1ww" 366720 4 "C# major"
0.466 0.791 "G#" -4.612 "major" 0.0376 0.0123 0 0.158 0.279 145.006 "4fP7GoveNSROIOgDGkMgiI" 521840 4 "G# major"
0.424 0.903 "A" -4.19 "major" 0.0948 0.0361 0.00392 0.114 0.427 199.908 "1f2Z91oEMVt8VRHAeabVHj" 241893 4 "A major"
0.43 0.967 "G#" -3.521 "major" 0.0767 6.89e-05 1.33e-05 0.0381 0.301 137.975 "3Of2edaTf1fp4dSpRtzC9W" 305213 4 "G# major"
0.464 0.745 "D#" -4.877 "major" 0.0315 0.00463 1.33e-05 0.283 0.357 79.996 "5KQczKOIG2hKKMVuzpjwZK" 277387 4 "D# major"
0.502 0.975 "F" -3.332 "minor" 0.0602 0.00176 0.000204 0.385 0.55 99.998 "6V7rBbQb4DwWAhnKGz6c9O" 236773 4 "F minor"
0.426 0.832 "F" -4.489 "major" 0.0383 0.00145 0.00141 0.133 0.263 171.905 "2jSfWnceqnnc53fmlXxlod" 251760 4 "F major"
0.57 0.846 "D" -3.095 "minor" 0.0445 0.000139 9.6e-05 0.112 0.37 130.963 "7F0018sEzvK2L4TUDoQuYx" 374040 4 "D minor"
0.237 0.871 "B" -4.382 "minor" 0.0402 0.0015 0.00292 0.132 0.293 93.004 "0sMkOknNHO935Su1QJEYFm" 672573 4 "B minor"
0.435 0.976 "G" -3.453 "minor" 0.0635 3.22e-06 0.00534 0.156 0.156 146.972 "6FkrvKmdSa0axYKUWGjY08" 368987 4 "G minor"
0.409 0.757 "D#" -5.297 "major" 0.0297 0.00424 1.71e-05 0.134 0.323 179.899 "3KceV3dx5uh5ccpDi499BZ" 232213 4 "D# major"
0.384 0.522 "G" -6.982 "minor" 0.0348 0.214 0.00171 0.163 0.122 137.935 "1y9Aehc4Aws6UjpX5Ja8Y5" 295707 4 "G minor"
0.544 0.992 "F" -4.345 "minor" 0.13 3.1e-05 0.0231 0.056 0.149 106.518 "1aAnbx7AkjB8wSpjtpswca" 341253 4 "F minor"
0.307 0.963 "D" -3.855 "major" 0.0758 0.000184 0.000132 0.0548 0.309 99.476 "5OZfaZT5WtazOrNeEzvib4" 380520 4 "D major"
0.328 0.988 "E" -3.291 "minor" 0.103 0.00022 6.16e-05 0.319 0.138 193.161 "6oUQnaMFK9FKejfKXcQBj0" 281747 4 "E minor"
0.39 0.503 "D" -6.693 "minor" 0.0271 0.0488 1.04e-05 0.072 0.104 173.932 "60SHEWHBoTHigI3hyEdk7M" 315773 3 "D minor"
0.425 0.978 "G" -2.743 "minor" 0.0733 0.000833 1.37e-05 0.0305 0.255 153.055 "4RrfAHdy9FoX6V9rryAjpU" 333867 4 "G minor"
0.608 0.779 "G" -5.122 "major" 0.0315 0.00151 0.0351 0.0968 0.224 121.998 "2iVINkbu6C5BUw5AYkx0JD" 232600 4 "G major"
0.24 0.804 "B" -6.037 "major" 0.0461 0.0033 0.00014 0.115 0.146 151.723 "7xztn1K8Yo72351RxFcF8L" 857800 4 "B major"
0.483 0.936 "B" -5.022 "major" 0.0383 4.51e-05 0 0.148 0.475 131.574 "6YTOLMRTnLAdPOo1kxjNoZ" 331533 4 "B major"
0.257 0.915 "C" -3.535 "major" 0.0659 0.0337 0 0.0742 0.267 101.96 "1fBJMIV2xSzepfbsnWtg1k" 674854 4 "C major"
0.441 0.986 "D#" -3.059 "major" 0.0863 0.00228 0 0.418 0.515 136.019 "1LKScCsG356DT8nzrBoSiw" 209225 4 "D# major"
0.288 0.991 "D#" -3.976 "major" 0.312 0.000126 3.77e-06 0.0902 0.353 169.607 "0OQmxZOINqWsbKysfiPSTO" 200036 4 "D# major"
0.439 0.968 "F#" -3.21 "minor" 0.159 0.00123 0 0.242 0.655 160.055 "0td6n7lIccGyYKgnWBGUvD" 207778 4 "F# minor"
0.513 0.476 "F" -7.54 "major" 0.0259 0.431 0 0.0899 0.274 107.559 "6A4FCCugA1IvfCD0flEnzr" 244115 4 "F major"
0.443 0.985 "E" -4.001 "major" 0.124 4.63e-05 0 0.378 0.429 143.97 "2ZsyiMM5KRLZwyy0LCu5iR" 202521 4 "E major"
0.52 0.88 "F" -4.506 "major" 0.0514 0.00101 0 0.133 0.604 126.97 "79n8VyEQW9qwN1gIvcgK2A" 214184 4 "F major"
0.446 0.82 "F#" -5.198 "minor" 0.0483 0.000687 0.00332 0.111 0.353 125.072 "5nXwGh9Ya2VbPPp5w28nLb" 237976 4 "F# minor"
0.342 0.981 "D" -3.228 "minor" 0.14 2.53e-05 0 0.343 0.207 160.083 "3imITUqEhkebNbOoS1yrWm" 202640 4 "D minor"
0.42 0.983 "A#" -3.437 "major" 0.113 0.000263 0 0.114 0.513 149.958 "15qf0H31MChhqKr2zvejla" 197200 4 "A# major"
0.409 0.989 "A" -4.115 "major" 0.143 0.000122 0 0.356 0.228 154.986 "73CczWVa3cudmlTAgOwKXv" 204187 4 "A major"
0.589 0.881 "C" -4.62 "major" 0.0666 0.000256 0 0.327 0.709 129.95 "1h8i0jqiQthR3Obo3aJ3dh" 209093 4 "C major"
0.283 0.957 "F" -4.845 "minor" 0.0729 9.52e-05 0 0.287 0.431 110.027 "1hDu0yy7dYqQzv0OHhN5Xx" 236613 4 "F minor"
0.584 0.536 "A#" -8.158 "major" 0.0279 0.112 0 0.456 0.44 126.996 "0PMgaQFz7F8gvbLJheLXPj" 243227 4 "A# major"
0.499 0.519 "C" -6.552 "major" 0.0298 0.197 0 0.0632 0.746 157.984 "0Oki8QZQw7vwolt2kttQqy" 222813 4 "C major"
0.383 0.653 "D" -7.507 "major" 0.0293 0.163 0.00144 0.492 0.467 169.848 "6g0v0NzLaCtvqDSwWny6CV" 274960 4 "D major"
0.314 0.888 "G#" -5.06 "major" 0.101 0.000199 0 0.215 0.231 100.586 "2DCOsvyOaJYEjAQ05JjTZa" 213573 4 "G# major"
0.499 0.966 "G#" -3.654 "major" 0.0751 0.00113 0 0.0715 0.51 96.493 "0iXYVorRQrpkaR8ExjAhNT" 203747 4 "G# major"
0.436 0.936 "F" -4.279 "minor" 0.0637 0.000172 0 0.343 0.556 160.097 "0EQJal8357aE0QAQsweEAN" 228013 4 "F minor"
0.625 0.951 "D#" -5.209 "major" 0.0494 0.00497 0 0.106 0.721 128.01 "1HykUKaVU0CEUvv1vLKkXj" 198267 4 "D# major"
0.463 0.334 "D" -11.486 "minor" 0.0292 0.722 0.193 0.114 0.222 112.92 "7G9Lt5n15oixh2Iw4PlN5n" 145267 4 "D minor"
0.464 0.434 "A" -9.421 "major" 0.0274 0.848 0.00068 0.136 0.205 119.95 "3KmkeNwQkphqxgNwz2UWZL" 217027 4 "A major"
0.472 0.944 "F" -4.503 "minor" 0.0841 0.00041 2.5e-05 0.162 0.311 144.94 "2HdUTT8XDN2zyytO1t7FZt" 355973 4 "F minor"
0.4 0.895 "D#" -4.235 "major" 0.0829 1.78e-05 0.000388 0.253 0.26 124.97 "1ntj7WmV88Zlqh4DUXFADn" 353853 4 "D# major"
0.503 0.883 "B" -4.624 "major" 0.0594 0.00143 0.00211 0.176 0.326 117.992 "7AHf5TP04DhpMUSrDmmR88" 298320 4 "B major"
0.464 0.951 "D" -3.802 "minor" 0.094 0.000517 0 0.328 0.374 135.011 "6TXzsFpHNbiGa36FM5CkFe" 241253 4 "D minor"
0.519 0.875 "C" -5.061 "major" 0.0543 0.00217 2.31e-06 0.791 0.311 132.98 "3VfEOrEYqFtT2edfJ3JL0X" 306747 4 "C major"
